Datei;Variable;Mittelwert;Median;Standardabweichung;Minimalwert;Maximalwert;RMS;Anzahl_Werte
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].RotorSpeed;708.9794466859798;708.9433130154296;0.2223738761942202;708.5343388888776;709.7931550232834;708.9794815601499;2000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].PitotVelocity;4.545257362435362;4.544862399178166;0.013847229925863135;4.5019219806117405;4.589226722717284;4.545278455336865;2000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade1;0.3993149995803833;0.3993149995803833;0.0;0.3993149995803833;0.3993149995803833;0.3993149995803833;2000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade1Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade2;0.3991750180721283;0.3991750180721283;0.0;0.3991750180721283;0.3991750180721283;0.39917501807212835;2000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade2Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade3;0.39368000626564026;0.39368000626564026;0.0;0.39368000626564026;0.39368000626564026;0.3936800062656403;2000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade3Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].Yaw;1.0706760831763968;1.0709999799728394;0.0016584552196663293;1.0619999170303345;1.0709999799728394;1.0706773676321295;2000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].YawDem;0.0;0.0;0.0;0.0;0.0;0.0;2000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].PitotDirection;0.006195068359375;0.006195068359375;0.0;0.006195068359375;0.006195068359375;0.006195068359375;2000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].Hub[0].Yawing;52.1341239280065;23.074035644507855;890.4628184058136;-1369.924641927025;1465.0282592773515;891.9876668659525;20000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].Hub[0].Nodding;697.0683702282273;701.2542597452803;670.2840371402989;-6050.060180663921;3303.8087361653643;967.0496384455839;20000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].Hub[0].Torque;278.13879615340056;278.2273332988883;3.071198962401646;268.31888323106386;286.6782848541333;278.1557516729244;20000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].Azimuth;179.60786663232656;179.448237737015;104.0297697296153;0.0009975433349609375;359.9919980366976;207.56006057575814;20000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].PowerReference[0].Rel;100.0;100.0;0.0;100.0;100.0;100.0;1000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].PowerReference[0].Abs;46.0;46.0;0.0;46.0;46.0;46.0;1000
Results_File_5_TOP_12.mat;Data[0].ModelsData[0].Model1[0].AirDensity;1.1299999952316284;1.1299999952316284;0.0;1.1299999952316284;1.1299999952316284;1.1299999952316284;1000
Results_File_5_TOP_12.mat;Data[0].RecordingStart;nan;nan;nan;nan;nan;nan;1
Results_File_5_TOP_12.mat;Data[0].TN;nan;nan;nan;nan;nan;nan;1
Results_File_5_TOP_13.mat;Data[0].Time;3.9998;3.9998;2.3094010738717516;0.0;7.9996;4.618628948075392;20000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Tower[0].FA;-5.798715314007153;-5.796927252784387;1.568054526098363;-8.097011708444162;-3.5788329955070264;6.0069871224865;2000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Tower[0].SS;-2.0800929290946097;-2.0868799557848714;1.7290240391899852;-4.6735231107281265;0.4380488395690843;2.7048679675293292;2000
